company,end_date,revenue,n_income,total_assets,total_liab,net_operate_cash_flow,year
000002.SZ,19991231,2872795896.07,240126889.47,4494664465.95,2348353754.91,0.0,1999
000002.SZ,20001231,3783668674.18,311177265.88,5622247214.95,2656602254.25,0.0,2000
000002.SZ,20011231,4455064776.93,381969284.35,6482911630.82,3356829340.71,0.0,2001
000002.SZ,20021231,4574359629.05,398048307.64,8215822308.3,4789363433.39,0.0,2002
000002.SZ,20031231,6380060435.28,565890614.8,10561040095.7,5800579701.15,0.0,2003
000002.SZ,20041231,7667226237.03,912653719.73,15534422529.76,9229974987.69,0.0,2004
000002.SZ,20051231,10558851683.83,1433425711.84,21992392061.3,13411168833.23,843439134.65,2005
000002.SZ,20061231,17918331517.79,2422997051.18,49919840381.13,32466336834.14,-3024121481.87,2006
000002.SZ,20071231,35526611301.94,5317500817.82,100094467908.29,66174944879.25,-10437715815.8,2007
000002.SZ,20081231,40991779214.96,4639869152.73,119236579721.09,80418030239.89,-34151830.4,2008
000002.SZ,20091231,48881013143.49,6430007538.69,137608554829.39,92200042375.32,9253351319.55,2009
000002.SZ,20100930,22380429859.16,3825645658.41,187935298155.38,138598564972.19,-1207363590.0,2010
000002.SZ,20201231,419111677714.12,59298116444.53,1869177094005.55,1519332620662.33,53188022243.81,2020
000002.SZ,20211231,452797773974.14,38069527018.02,1938638128699.08,1545865352173.99,4113160948.2,2021
000002.SZ,20221231,503838367358.76,37550909305.14,1757124444202.95,1352132937796.74,2750449478.44,2022
000002.SZ,20230930,290308491288.95,21027345000.6,1646701739373.12,1239574345996.9,235323600.88,2023
000333.SZ,20031231,14021867559.59,308257237.43,9344069873.35,6085344044.94,0.0,2003
000333.SZ,20041231,20378128618.17,549298194.36,12625078478.49,8590903147.55,1498308395.86,2004
000333.SZ,20051231,29544578256.06,818600287.12,16124790918.16,11217903691.33,2437805745.36,2005
000333.SZ,20061231,36825178484.56,1656378085.73,19650978408.55,13653826979.83,2415555006.84,2006
000333.SZ,20071231,47920570189.52,2616899970.17,27421108056.97,18851455147.5,2149740838.66,2007
000333.SZ,20081231,63992087064.07,2658407041.22,35898659436.71,24748516421.77,4419600460.0,2008
000333.SZ,20091231,68533849239.95,3314548811.04,52065829973.51,35484688373.4,3524105320.9,2009
000333.SZ,20100930,81224042704.6,4655621954.54,73445976818.55,52170339180.0,9527622126.24,2010
000333.SZ,20201231,285709729000.0,27506542000.0,360382603000.0,236145503000.0,29557117000.0,2020
000333.SZ,20211231,343360825000.0,29015376000.0,387946104000.0,253121028000.0,35091704000.0,2021
000333.SZ,20221231,345708706000.0,29810231000.0,422555267000.0,270631465000.0,34657828000.0,2022
000333.SZ,20230930,292379658000.0,28287089000.0,465019979000.0,296757722000.0,44787056000.0,2023
000651.SZ,19951231,2564104365.87,155172172.07,1099235232.46,804542733.46,0.0,1995
000651.SZ,19960630,1853619209.94,131181703.51,1667198437.29,1203824234.78,0.0,1996
000651.SZ,19991231,4326939501.4,230826432.36,3423855391.07,2337525913.1,0.0,1999
000651.SZ,20001231,6177717129.96,259021825.4,5785824935.69,4136141106.51,0.0,2000
000651.SZ,20011231,6587976827.62,277289360.69,6922276525.54,5166208189.07,0.0,2001
000651.SZ,20021231,7029690860.93,301104853.91,7144163634.25,5281840006.2,0.0,2002
000651.SZ,20031231,10042382751.13,335651063.86,8289078115.04,6095331469.44,0.0,2003
000651.SZ,20041231,13832615003.23,429144299.3,12760655072.86,10244824593.41,0.0,2004
000651.SZ,20051231,18248127944.36,516682032.78,12681199580.1,9871508641.34,773733376.11,2005
000651.SZ,20061231,26357915978.08,702034011.36,16634577473.55,13085937495.94,1732974175.37,2006
000651.SZ,20071231,38041313122.26,1287239813.39,25547955384.38,19687819215.85,2792790148.06,2007
000651.SZ,20081231,42199715679.53,1991849578.93,30564718943.81,22973670350.0,368544296.12,2008
000651.SZ,20091231,42637291053.26,2931663385.28,51530250677.91,40877565403.67,9449596083.21,2009
000651.SZ,20101231,60807242452.83,4303205496.16,65604378124.94,51592669903.95,615995032.63,2010
000651.SZ,20111231,83517252467.96,5297340543.07,85211594207.3,66834439664.69,3356159992.13,2011
000651.SZ,20121231,100110108848.26,7445927982.7,107566899919.95,79986697791.3,18408746271.56,2012
000651.SZ,20131231,120043070005.5,10935755177.19,133702103359.54,98235425674.76,12969837129.83,2013
000651.SZ,20141231,140005393975.58,14252954811.96,156230948479.88,111099497469.7,18939165507.73,2014
000651.SZ,20151231,100564453646.56,12623732620.22,161698016315.06,113131407737.14,44378381827.68,2015
000651.SZ,20161231,110113101850.23,15524634903.87,182369705049.35,127446102258.84,14859952106.92,2016
000651.SZ,20171231,150019551611.75,22508599044.09,214967999328.38,148133201565.19,16358538247.83,2017
000651.SZ,20181231,200023997743.87,26379029817.06,251234157276.81,158519445549.35,26940791542.98,2018
000651.SZ,20191231,200508333611.34,24827243603.97,282972157415.28,170924500892.2,27893714093.59,2019
000651.SZ,20201231,170497415702.41,22279242195.27,279217923628.27,162337436540.13,19238637309.16,2020
000651.SZ,20211231,189654033523.5,22831893632.89,319598183780.38,211672732613.87,1894363258.72,2021
000651.SZ,20221231,190150672542.13,23011344353.11,355024758878.82,253148710864.63,28668435921.27,2022
000651.SZ,20230930,155812064340.72,19522774681.03,385937436431.4,269040538306.53,39596171712.18,2023
000858.SZ,19991231,3308791041.8,649021962.9,3918898762.95,1498399396.5,0.0,1999
000858.SZ,20001231,3953640138.96,768216832.5,4600917198.25,1409700999.3,0.0,2000
000858.SZ,20011231,4742095340.65,816316516.73,6687868171.49,1985625038.69,0.0,2001
000858.SZ,20021231,5706517438.45,618984667.91,7261734980.75,1939635025.04,0.0,2002
000858.SZ,20031231,6333090598.79,703792730.94,8262779664.53,2236886977.87,0.0,2003
000858.SZ,20041231,6297583438.98,829759695.11,8810533628.0,2223571726.23,0.0,2004
000858.SZ,20051231,6418751478.32,799007076.77,9614093108.86,2228124130.32,1252717668.09,2005
000858.SZ,20061231,7397006488.91,1176610733.74,10340154321.48,2039017147.73,1336270367.45,2006
000858.SZ,20071231,7328555841.62,1472784098.42,11571651127.1,1945414142.93,1665545943.71,2007
000858.SZ,20081231,7933068723.21,1829699892.55,13496420728.24,2040483851.52,1972636550.81,2008
000858.SZ,20091231,11129220549.61,3466668431.51,20849090535.73,6268628391.14,6054009663.0,2009
000858.SZ,20101231,15541300510.85,4562056835.6,28673500525.16,10307398983.69,7703120285.26,2010
000858.SZ,20111231,20350594468.71,6394377214.98,36905840779.24,13459152038.79,9533022924.41,2011
000858.SZ,20121231,27201045951.34,10335733704.78,45247636141.84,13726565588.54,8749667084.48,2012
000858.SZ,20131231,24718588617.99,8322215360.95,44129502138.3,7110217586.21,1458910756.88,2013
000858.SZ,20141231,21011491536.14,6058214963.07,46408870652.85,6075790206.77,794565645.34,2014
